ISIN,Name,0μs,100μs,500μs,1000μs,2000μs,3000μs,4000μs,5000μs,10000μs,15000μs,20000μs,30000μs,50000μs,100000μs
ES0105563003,ISIN_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105630315,ISIN_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105777017,ISIN_14,2.479999999999947,5.989999999999872,8.049999999999828,8.049999999999828,8.049999999999828,6.179999999999868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.119999999999912
ES0105884011,ISIN_15,28.209999999999923,38.51999999999966,26.180000000000035,29.379999999999967,12.67999999999973,1.7199999999999633,0.9199999999999804,0.41999999999999105,0.7799999999999834,1.1099999999999763,0.13999999999999702,0.13999999999999702,0.0,0.0
ES0109067019,ISIN_16,70.21999999999737,75.85999999999808,98.61999999999537,106.95999999999488,96.2599999999985,118.53999999999917,93.99999999999973,40.65999999999811,27.319999999998885,13.239999999998417,19.579999999999444,6.2199999999993025,0.0,0.0
ES0109427734,ISIN_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0112501012,ISIN_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0113211835,ISIN_19,160.55999999998312,124.94999999999018,131.65999999999067,147.8749999999883,165.12999999999738,165.12999999999738,139.0800000000026,136.79500000000303,104.98499999999862,53.2,47.28000000000118,23.730000000001393,23.73000000001214,2.099999999999582
ES0113679I37,ISIN_20,0.7199999999998568,0.7199999999998568,0.7199999999998568,5.2499999999989555,5.2499999999989555,5.2499999999989555,5.2499999999989555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0113860A34,ISIN_21,0.9769999999998924,0.9769999999998924,0.9769999999998924,13.533999999998509,13.476999999998515,13.476999999998515,13.476999999998515,13.476999999998515,13.466999999998517,10.8849999999988,0.009999999999998899,0.009999999999998899,0.009999999999998899,0.009999999999998899
ES0113900J37,ISIN_22,131.0010000000098,133.77600000000558,142.44399999999385,123.21900000000397,111.17199999999923,96.46799999999827,102.16899999999451,90.39099999999631,58.109000000002354,56.1050000000055,52.39700000000772,38.19500000000131,19.083000000005438,13.173000000004318
ES0116870314,ISIN_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0116920333,ISIN_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0118594417,ISIN_25,24.339999999995214,17.97999999999648,17.97999999999648,17.97999999999648,17.97999999999648,17.819999999996455,0.0,0.0,0.0,6.359999999998735,0.0,0.0,0.0,0.0
ES0121975009,ISIN_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0122060314,ISIN_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0124244E34,ISIN_28,0.44799999999995066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0126775008,ISIN_30,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.9000000000000128,0.0,0.0,0.0,0.0,0.0
ES0130625512,ISIN_31,0.3180000000000356,0.3180000000000356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0130670112,ISIN_32,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0130960018,ISIN_33,3.2900000000002105,3.2900000000002105,3.595000000000258,3.4000000000002277,1.2200000000001907,1.2200000000001907,2.0750000000000206,0.5900000000000922,0.5900000000000922,0.5900000000000922,0.5900000000000922,0.5900000000000922,0.5900000000000922,0.0
ES0132105018,ISIN_34,6.929999999999852,10.179999999999783,16.889999999999638,8.049999999999828,12.069999999999743,12.069999999999743,12.069999999999743,12.069999999999743,0.0,0.0,0.0,0.0,0.0,0.0
ES0132945017,ISIN_35,3.6849999999999214,3.6849999999999214,3.6849999999999214,3.1649999999999325,3.6849999999999214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0134950F36,ISIN_36,1.3499999999999712,1.974999999999958,1.974999999999958,1.974999999999958,1.974999999999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0137650018,ISIN_37,4.319999999999908,2.159999999999954,2.159999999999954,2.159999999999954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0139140174,ISIN_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0140609019,ISIN_39,16.98600000000166,18.882000000001632,18.82800000000166,20.590000000001986,13.533999999999628,12.524000000000314,11.789999999999571,11.789999999999571,11.749999999999558,11.143999999999894,16.880000000001807,16.880000000001807,9.162000000000347,5.0899999999998915
ES0142090317,ISIN_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0144580Y14,ISIN_41,20.33000000000157,21.240000000002812,23.840000000002295,26.195000000001826,8.835000000004165,8.335000000004264,10.92000000000375,29.64499999999891,27.059999999999423,28.62999999999911,27.059999999999423,6.765000000003461,6.765000000003461,4.760000000002435
ES0148396007,ISIN_42,3.650000000000297,3.650000000000297,3.1700000000003925,3.1700000000003925,3.1100000000004044,3.1100000000004044,3.1100000000004044,2.089999999999584,0.6099999999998786,0.0,0.0,0.0,0.0,0.0
ES0157097017,ISIN_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0157261019,ISIN_44,2.100000000000179,2.100000000000179,2.100000000000179,2.100000000000179,2.100000000000179,2.100000000000179,2.100000000000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
